တိုင္း/ျပည္နယ္ (ျမန္မာ),ျမို့နယ္ (ျမန္မာ),အမ်ိုးအစား (ျမန္မာ),အမည္ (ျမန္မာ),လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,,,,,,
SR_MM_NAME,TS_MM_NAME,TYPE_MM,NAME_MM,LAT,LONG,Ph_no,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ၾကိဳ႕ပင္ေကာက္ျမို႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ၾကယ္စင္လင္း,18.231633,95.653573,095373094,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,က၀ျမိဳ႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,လင္းလင္းေအာင္,17.088598,96.456171,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,က၀ျမိဳ႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ရွုိင္း,17.088505,96.45571,09428149423,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေက်ာက္တံခါးျမိဳ႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္တံခြန္,18.156365,96.611084,09400010304,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေက်ာက္တံခါးျမိဳ႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဘုရင္,18.156856,96.611951,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေက်ာက္တံခါးျမိဳ႕,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္,18.155462,96.613008,09954922717,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာကၽြဲအင္းျမိဳ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ျပည့္ျဖိဳးေအာင္,18.279289,96.526308,09428194394,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ေတာကၽြဲအင္းျမိဳ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအဂ်ီ,18.276605,96.522014,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ျပည္ျမိဳ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,နိုင္,18.822763,95.216416,09423718483,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ျပည္ျမိဳ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေကာင္း,18.82109,95.234627,,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ျပည္ျမိဳ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္ျမန္မာထြန္း,18.815775,95.250853,09456400669,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ျပည္ျမိဳ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ထိန္လင္း,18.817948,95.2569174,09421061587,,,,,,
ပဲခူးတိုင္းေဒသၾကီး,ျပည္ျမိဳ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္,18.818425,95.257362,0931446200,,,,,,
